exame,materia,assunto,imagem_questao,resposta_correta
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q51.png;data/imagens/enem/cienciasHumanas/Q51(2).png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q52.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q53.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q54.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q55.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q56.png;data/imagens/enem/cienciasHumanas/Q56(2).png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q57.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q58.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q59.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q60.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q61.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q62.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q63.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q64.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q65.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q66.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q67.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q68.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q69.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q70.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q71.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q72.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q73.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q74.png;data/imagens/enem/cienciasHumanas/Q74(2).png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q75.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q76.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q77.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q78.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q79.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q80.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q81.png,E
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q82.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q83.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q84.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q85.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q86.png,A
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q87.png,B
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q88.png,C
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q89.png,D
ENEM,Ciências,Exatas,data/imagens/enem/cienciasHumanas/Q90.png,E
